"nom";"adresse";"departement";"codepostal";"nomcommune";"inseecommune";"lambert2x";"lambert2y";"substance"
"CARRIERES de Durlinsdorf (Sté des )";"ROHBERG";"68";"68480";"DURLINSDORF";"68074";969020;2288133;"CALCAIRE"
"GRAVIRHIN (carrière)";"MASCHIECKE";"68";"68190";"ENSISHEIM";"68082";973877;2330459;"MAT.SILICO CALCAIRE"
"SIVU SAINT-NABOR";"communes de Saint-Nabor et Ottrott";"67";"67530";"ST NABOR";"67428";975861;2395181;"PORPHYRE"
"CMGV Lohr";"""Gundbierenfeld""";"67";"67290";"LOHR";"67273";959967;2439588;"GRES"
"WENDLING (Burbach)";"lieu-dit ""Pont Blanc""";"67";"67260";"BURBACH";"67070";950815;2445041;"CALCAIRE"
"GRE - PHILLIPPS  (Pfalzweyer)";"Schwemmberg";"67";"67320";"PFALZWEYER";"67373";961093;2435042;"GRES"
"CARRIERE DE TRAPP (Plaine)";"""Jallhaye""";"67";"67420";"PLAINE";"67377";953353;2389981;"GRES"
"RAUSCHER Rothbach (Winkelberg)";"WINKELBERG";"67";"67340";"ROTHBACH";"67415";979785;2447423;"GRES"
"RAUSCHER Rothbach (Hirschtal)";"HIRSCHTAL";"67";"67340";"ROTHBACH";"67415";979654;2447673;"GRES"
"LOEGEL  (Rothbach)";"Gemeindewald - Hochbruch";"67";"67340";"ROTHBACH";"67415";979363;2447688;"GRES"
"CARRIERE DE SAINT-PIERRE-BOIS";"IM TAELELE - AM BLIENSCHWEILLER WEG";"67";"67220";"ST PIERRE BOIS";"67430";972983;2382368;"PORPHYRE"
"RAUSCHER Adamswiller (carrière)";"NACHTWEID";"67";"67320";"ADAMSWILLER";"67002";957001;2445729;"GRES"
"SCHNEIDER (Bust - Hinterwald)";"HINTERWALD";"67";"67320";"BUST";"67071";960401;2435655;"GRES"
"SCHNEIDER (Bust - Grosse Eich)";"GROSSE EICH";"67";"67320";"BUST";"67071";960098;2437245;"GRES"
"BOEHM";"AUF DEM BERG. UNTERE BADSTUBE. HARZENDAC";"67";"67310";"DAHLENHEIM";"67081";980305;2410402;"CALCAIRE"
"WENDLING  Domfessel";"Hardberg";"67";"67430";"DOMFESSEL";"67099";953083;2450992;"CALCAIRE"
"STAUB (RAUSCHER)";"Nonnenhardt";"67";"67360";"LANGENSOULTZBACH";"67259";995270;2456694;"GRES"
"SIEGFRIED GASTON Leutenheim";"FORET DE KOENIGSBRUCK";"67";"67480";"LEUTENHEIM";"67264";1012533;2443768;"ARGILE"
"RAUSCHER Lohr (carrière)";"";"67";"67290";"LOHR";"67273";960037;2439672;"GRES"
"KARCHER Lorentzen";"HARD";"67";"67430";"LORENTZEN";"67274";954052;2451243;"CALCAIRE"
"RAUSCHER (ancnt EBERHART)";"""SILZBERG""";"67";"67430";"MACKWILLER";"67278";955702;2447035;"GRES"
"KUNTZ Mackwiller";"SILZBERG";"67";"67430";"MACKWILLER";"67278";955732;2447051;"GRES"
"NCA (Nouvelles Carrières d'Alsace)";"STRIETH";"68";"68380";"METZERAL";"68204";953553;2345853;"GRANITE"
"REINBERGER Struth (carrière)";"HIRSCHFELD";"67";"67290";"STRUTH";"67483";961517;2443211;"GRES"
"RAUSCHER Volksberg";"GERSTENFELD - ZWISCHEN DEN WEGEN";"67";"67290";"VOLKSBERG";"67509";963905;2450023;"GRES"
"KUNTZ Waldhambach ";"KUPPERTSMUHL";"67";"67430";"WALDHAMBACH";"67514";956236;2446388;"GRES"
"CHAUX DE WASSELONNE (carrière)";"""Galgen""";"67";"67310";"WASSELONNE";"67520";976191;2417890;"CALCAIRE"
"RAUSCHER Weislingen (ancnt Pfordt)";"HAUWILLER";"67";"67290";"WEISLINGEN";"67522";958830;2446138;"GRES"
"CARRIERE DE TRAPP (Wisches)";"HERSBACH";"67";"67130";"WISCHES";"67543";962408;2399500;"PORPHYRE"
"RAUSCHER Wissembourg";"HAUTE FORET DU MUNDAT";"67";"67160";"WISSEMBOURG";"67544";1006204;2460442;"GRES"
"HOLCIM (France) (carrière)";"STEINGRUBE";"68";"68130";"ALTKIRCH";"68004";968382;2303912;"CALCAIRE"
"Carrière SGBC (ex STPB ex SGA) - Peri";"Lieu-dit: Suarella";"2A";"20167";"PERI";"2A209";1143117;1688600;"GRANITE"
"Carrière AGREGATS SUD CORSE";"Lieu-dit: Chiova d'Asino";"2A";"20137";"PORTO VECCHIO";"2A247";1178313;1634328;"GRANITE"
"Carrière I.S - Loreto di Tallano";"Lieu dit ""inversu""";"2A";"20165";"LORETO DI TALLANO";"2A146";1158577;1657007;"GRANITE"
"Carrière I.S - Sartène et concassage ";"Lieu-dit: Anelapo";"2A";"20100";"SARTENE";"2A272";1150127;1650572;"GRANITE"
"Carrière SAULI et Cie et concassage";"Lieu-dit: Caniccia";"2A";"20146";"SOTTA";"2A288";1170825;1641294;"GRANITE"
"Carrière CONSTRUCTION DU CAP";"Carrières de Brando";"2B";"20233";"SISCO";"2B281";1180802;1783060;"CALCAIRE"
"Carrière CORSE AGREGATS - Moltifao";"";"2B";"20218";"MOLTIFAO";"2B162";1163095;1745750;"GRANITE"
"Carrière SECA - Albitreccia";"Lieu-dit ""Feroleto""";"2A";"20128";"ALBITRECCIA";"2A008";1142744;1672941;"GRANITE"
"PERNOT SET (Audelange)";"Lieudit ""Les Creux de l'Abbayette""";"39";"39700";"AUDELANGE";"39024";846429;2242966;"CALCAIRE"
"CARRIERE DE MOISSEY";"rue Serre";"39";"39290";"MOISSEY";"39335";842853;2248883;"PORPHYRE"
"SOCALEST";"Avenue Gustave Courbet";"39";"39100";"MONNIERES";"39345";837556;2239628;"CALCAIRE"
"SOLVAY ELECTROLYSE FRANCE (Grange sèche)";"Grange Sèche";"39";"39500";"DAMPARIS";"39189";833227;2235246;"CALCAIRE"
"PERNOT S.E.T (Essia)";"En Trepugnat";"39";"39270";"ESSIA";"39215";845398;2182260;"CALCAIRE"
"IMERYS TC SAS (Les Champs arguets)";"LES CHAMPS ARGUETS";"39";"39140";"COMMENAILLES";"39160";837018;2207536;"ARGILE"
"COLAS SJE (Jouhe)";"MONT ROLAND";"39";"39100";"JOUHE";"39270";838755;2241731;"CALCAIRE"
"PERNOT S.E.T. (Plasne)";"Sur Margeat";"39";"39210";"PLASNE";"39426";855941;2206978;"CALCAIRE"
"ROUX S.A.S (Les Arsures)";"La Coutote";"39";"39600";"LES ARSURES";"39019";862955;2222958;"CALCAIRE"
"BERTHERAT Roland S.N.C. (Les Frattes)";"rue Elie Mayet";"39";"39150";"ST LAURENT EN GRANDVAUX";"39487";876595;2179591;"CALCAIRE"
"IMERYS TC SAS (Champ du Si)";"Champ du si";"39";"39140";"COMMENAILLES";"39160";837778;2203422;"ARGILE"
"GOYARD Père et Fils SARL (Saint-Pierre)";"Bois de la Dévia";"39";"39150";"ST PIERRE";"39494";873933;2182161;"CALCAIRE"
"SOCIETE NOUVELLE DE CARRIERE (Epeugney)";"Lieu-dit ""Les Grands Prés""";"25";"25290";"EPEUGNEY";"25220";878551;2245290;"CALCAIRE"
"CARRI DRO SARL (ex Cachod)";"Lieu-dit ""Prémousey""";"25";"25580";"ETALANS";"25222";897178;2247728;"CALCAIRE"
"FAIVRE RAMPANT SAS (Les Fins)";"Lieux-dits ""Le Goussot"" ""Percerots""";"25";"25500";"LES FINS";"25240";923973;2242410;"CALCAIRE"
"CUENOT ROGER SA ( Frasne)";"Lieu-dit ""Pré Pain Blanc""";"25";"25560";"FRASNE";"25259";889530;2214383;"CALCAIRE"
"CUENOT ET FILS SARL (Gonsans)";"Lieu-dit ""Champ Durand""";"25";"25360";"GONSANS";"25278";899447;2257023;"CALCAIRE"
"TATTU  TP (Rout Atre)";"Lieu-dit ""Rout Atre""";"25";"25390";"GUYANS VENNES";"25301";919996;2247830;"CALCAIRE"
"CARRIERES DU HAUT DOUBS (Houtaud)";"Lieu-dit ""Sur la Côte""";"25";"25300";"HOUTAUD";"25309";900908;2221167;"CALCAIRE"
"LEJEUNE BALAYAGE SARL";"Lieu-dit ""Essarts de la Rochotte""";"25";"25110";"HYEVRE PAROISSE";"25313";910662;2273567;"CALCAIRE"
"FAIVRE RAMPANT SAS (Jougne) (ex Michel)";"Lieu-dit ""Les Perrières""";"25";"25370";"JOUGNE";"25318";909360;2204611;"CALCAIRE"
"MALPESA FRERES";"Lieu-dit ""Les Grosses Hages""";"25";"25270";"LEVIER";"25334";889707;2225365;"CALCAIRE"
"LACOSTE BRUNO (ex Lacoste Jean)";"Lieu-dit ""La Combe Missey""";"25";"25120";"MAICHE";"25356";936125;2258296;"CALCAIRE"
"GDFC (Bougnon) ex Eurovia";"Lieu-dit ""En la Craie""";"70";"70170";"BOUGNON";"70079";882123;2304778;"CALCAIRE"
"Les Carrieres Comtoises (L2C) ";"Lieu-dit ""Le Grand Champonneau""";"70";"70000";"NOROY LE BOURG";"70390";895892;2298969;"CALCAIRE"
"JEANNIN (Mignovillard)";"La Pettouse";"39";"39250";"MIGNOVILLARD";"39331";890500;2203896;"CALCAIRE"
"COLAS SJE (Les Molunes)";"LA VIE NEUVE";"39";"39310";"LES MOLUNES";"39341";875343;2155686;"CALCAIRE"
"SJE (La Savine)";"LA SAVINE";"39";"39400";"MORBIER";"39367";880780;2180515;"CALCAIRE"
"FAMY SAS (Presilly)";"SUR PESSE";"39";"39270";"PRESILLY";"39443";850083;2177658;"CALCAIRE"
"HOLCIM FRANCE S.A. (Pierre Mouille)";"PIERRE MOUILLE";"39";"39700";"ROCHEFORT SUR NENON";"39462";843474;2241777;"CALCAIRE"
"CAR EL MA SAS (Grand Crétêt)";"Grand Crétêt";"39";"39220";"LES ROUSSES";"39470";886073;2173732;"CALCAIRE"
"FAMY SAS (saint-Pierre)";"PATURE DU FOURNEY";"39";"39150";"ST PIERRE";"39494";874827;2182806;"CALCAIRE"
"APPIA (Soucia)";"SUR CHACHAT";"39";"39130";"SOUCIA";"39519";862443;2176971;"CALCAIRE"
"PERNOT S.E.T. (Taxenne)";"Bois du Mont";"39";"39350";"TAXENNE";"39527";853663;2252780;"CALCAIRE"
"CARRIERES DE VERIA SARL ";"TEPPE A LALEY";"39";"39160";"VERIA";"39551";835703;2166257;"CALCAIRE"
"BONGARZONE ET CIE (Champlitte/Charton)";"Lieu-dit ""Combes Charton""";"70";"70600";"CHAMPLITTE";"70122";837413;2296330;"CALCAIRE"
"SCFC (Chargey les Port)";"Lieu-dit ""Croix la Bouillotte""";"70";"70170";"CHARGEY LES PORT";"70133";873169;2310223;"CALCAIRE"
"DEMOULIN FEDY (ex FEDY Frere (Cognières)";"Lieu-dit ""La Combe Bassand""";"70";"70230";"COGNIERES";"70159";896516;2285351;"CALCAIRE"
"VELET TERRASSEMENTS SAS (Courcuire)";"Lieu-dit ""Quitteur et Voscères""";"70";"70150";"COURCUIRE";"70181";864491;2267239;"CALCAIRE"
"SCFC (Cuve)";"""La Pierre du Coq"" ""Le Grand Bois""";"70";"70800";"CUVE";"70194";889803;2331584;"GRES"
"GUIBAUDET (Dampierre/Salon) ex Bai Dino";"""Les Orgevaux "" ""Buisson des Lorgeolles""";"70";"70180";"DAMPIERRE SUR SALON";"70198";851872;2291286;"CALCAIRE"
"SCFC (Dampvalley)";"Lieux-dits ""Le Charmont"" ""Les Accots""";"70";"70000";"DAMPVALLEY LES COLOMBE";"70199";892545;2299335;"CALCAIRE"
"SCFC (Echenoz le Sec)";"Lieu-dit ""Au Poirier le Beau""";"70";"70000";"ECHENOZ LE SEC";"70208";885845;2288278;"CALCAIRE"
"SCFC (Frétigney)";"Lieu-dit ""Les Chanots""";"70";"70130";"FRETIGNEY ET VELLOREILLE";"70257";873069;2282201;"CALCAIRE"
"SCFC (Saulnot) exSurleau";"Carrière de Courmont";"70";"70400";"SAULNOT";"70477";922982;2297048;"PORPHYRE"
"SCFC (Scey sur Saône)";"Lieu-dit ""Derrière Les Vignes du Pleuge""";"70";"70360";"SCEY SUR SAONE ET ST ALBIN";"70482";873430;2303510;"CALCAIRE"
"DEMOULIN FEDY (ex FEDY (Traitiéfontaine)";"Lieu-dit ""Fourchot""";"70";"70190";"TRAITIEFONTAINE";"70503";884370;2274923;"CALCAIRE"
"POISSENOT PATRICK TP";"Lieu-dit ""Côte Saint Martin""";"70";"70120";"VAUCONCOURT NERVEZAIN";"70525";861158;2300904;"CALCAIRE"
"VAUGIER SEEV SARL";"Lieu-dit ""Côte des Saler""";"70";"70110";"VELLECHEVREUX ET COURBENANS";"70530";916026;2291386;"CALCAIRE"
"COLAS EST ""Le Coteau""";"Le Coteau ";"90";"90150";"EGUENIGUE";"90036";944820;2308056;"CALCAIRE"
"SOCIETE DES CARRIERES DE L'EST Lepuix";"ROCHE SARRAZIN";"90";"90200";"LEPUIX";"90065";936263;2315952;"PORPHYRE"
"COUROUX ";"Route de Bâle";"90";"90160";"PEROUSE";"90076";943084;2303406;"CALCAIRE"
"SOCIETE DES CARRIERES DE L'EST Rougemont";"LA COICHE";"90";"90110";"ROUGEMONT LE CHATEAU";"90089";945656;2314646;"PORPHYRE"
"SCFC (Etalans)";"Lieu-dit ""Plainechaux""";"25";"25580";"ETALANS";"25222";895532;2247901;"CALCAIRE"
"SOCIETE NOUVELLE CARRIERE D'ARCEY";"Lieu dit ""Sous La Prusse"" BP 12";"25";"25750";"ARCEY";"25022";924317;2290479;"CALCAIRE"
"ECOGRANU 25 (Gonsans)";"Lieu-dit ""Les Champs Durand""";"25";"25360";"GONSANS";"25278";899648;2256992;"CALCAIRE"
"LES CARRIERES COMTOISES ""Ragie Bergeraie";"Lieu-dit ""Ragie Bergeraie""";"90";"90100";"ST DIZIER L EVEQUE";"90090";947233;2283670;"CALCAIRE"
"CARRIERES DE MONTROND ";"Les Champs Sausset- Bois de Béguin";"39";"39300";"MONTROND";"39364";866842;2207560;"CALCAIRE"
"GDFC (ex HOLCIM GRANULATS) ";"Lieux-dits ""La Buchotte""  ""Le Dos d'Ane""";"25";"25620";"L HOPITAL DU GROSBOIS";"25305";892968;2249860;"CALCAIRE"
"TATTU TP (Les Côtes)";"Lieu-dit ""Les Côtes""";"25";"25390";"GUYANS VENNES";"25301";919919;2249881;"CALCAIRE"
"GDFC (Marchaux) ex HOLCIM";"Lieu-dit ""La Grande Côte""";"25";"25640";"MARCHAUX";"25368";885445;2265386;"CALCAIRE"
"MAIROT ROBERT (Le Romont)";"""Le Romont""";"25";"25700";"MATHAY";"25370";934262;2280072;"CALCAIRE"
"MAIROT ROBERT  (Combe Andre)";"SOUS COMBE ANDRE";"25";"25700";"MATHAY";"25370";933154;2281019;"CALCAIRE"
"BBCI (Mérey/Montrond)";"Les Communaux";"25";"25660";"MEREY SOUS MONTROND";"25375";883748;2247205;"CALCAIRE"
"GRANULATS DES AVANT MONTS";"Lieu-dit ""Bois de Chailloz""";"25";"25870";"AUXON DESSUS";"25035";875906;2262561;"CALCAIRE"
"CARRIERES DES HOPITAUX VIEUX SA";"Lieux-dits ""Les Agettes"" ""Près sur Goys""";"25";"25370";"LES HOPITAUX VIEUX";"25308";906807;2207581;"CALCAIRE"
"CUENOT ROGER SA (Pessans)";"Lieu-dit ""Sur l'Arthe""";"25";"25440";"PESSANS";"25450";870283;2236456;"CALCAIRE"
"SCFC (Courchaton)";"Lieu-dit ""Bois de la Pérouse""";"70";"70110";"COURCHATON";"70180";917641;2287372;"CALCAIRE"
"GRANULATS DE FRANCHE COMTE (Anteuil)";"Lieu-dit ""Cote d'Armont""";"25";"25340";"ANTEUIL";"25018";917529;2273912;"CALCAIRE"
"GRANULATS DE FRANCHE COMTE (Arcey)";"Lieu-dit ""La Prusse""";"25";"25750";"ARCEY";"25022";924421;2289806;"CALCAIRE"
"GRANULATS DE FRANCHE COMTE";"LE MIEMONT";"25";"25420";"BART";"25043";932290;2286521;"CALCAIRE"
"LES CARRIERES COMTOISES (L2C) ex Climent";"Lieu-dit ""La Cude""";"25";"25112";"BAUME LES DAMES";"25047";901089;2268754;"CALCAIRE"
"LES CARRIERES COMTOISES (L2C) ex climent";"""La Clavière"", ""Ban Desus"" et ""La Comaye";"25";"25420";"BERCHE";"25054";932752;2282536;"CALCAIRE"
"SCFC (Boujailles)";"Lieu-dit ""Derrière le Cesset""";"25";"25560";"BOUJAILLES";"25079";886797;2216035;"CALCAIRE"
"VAUGIER ";"COMBOTTE-BRIGNARD et COMBE POREY";"25";"25250";"BOURNOIS";"25083";913749;2284978;"CALCAIRE"
"CHAFFOIS (SOCIETE DES CARRIERES DE)";"Lieu-dit ""Sur le Mont""";"25";"25300";"CHAFFOIS";"25110";900248;2220482;"CALCAIRE"
"CUENOT ROGER SA (Chapelle d'Huin)";"Lieu-dit ""Les Malfuchaux""";"25";"25270";"CHAPELLE D HUIN";"25122";895393;2222719;"CALCAIRE"
"JEANNIN (SOCIETE DES CARRIERES) Chemaudi";"Lieu-dit ""Mauprophète""";"25";"25320";"CHEMAUDIN";"25147";869222;2251244;"CALCAIRE"
"FAIVRE RAMPANT SAS (Chevigney)";"Lieu-dit ""L'Oeil Bas""";"25";"25530";"CHEVIGNEY LES VERCEL";"25151";906435;2246763;"CALCAIRE"
"SCFC (Mouthe)";"Lieu-dit ""Les Escorchevaches""";"25";"25240";"MOUTHE";"25413";893522;2196158;"CALCAIRE"
"LES CARRIERES DE MOUTHE SARL";"Lieu-dit ""Les Esseux""";"25";"25240";"MOUTHE";"25413";893052;2196613;"CALCAIRE"
"CARRI DRO SARL (ex JEANNIN)";"Lieu-dit ""Combes près de Chametin""";"25";"25720";"PUGEY";"25473";877745;2248000;"CALCAIRE"
"SCFC (Romain)";"Lieu-dit ""Sur la Roche""";"25";"25680";"ROMAIN";"25499";904587;2280042;"CALCAIRE"
"SCFC (Saint Vit)";"Lieu-dit ""Champs de Tenne""";"25";"25410";"ST VIT";"25527";865100;2248438;"CALCAIRE"
"DUBOZ";"Lieu-dit ""Bois des Epaisses""";"25";"25430";"SANCEY LE LONG";"25530";924707;2263408;"CALCAIRE"
"MOUROT TP  SAS (Silley)";"Lieu-dit ""La Leupas""";"25";"25330";"SILLEY AMANCEY";"25545";889558;2232530;"CALCAIRE"
"SCFC (Sombacour)";"Lieu-dit ""Le Clos Coulon""";"25";"25520";"SOMBACOUR";"25549";896317;2226223;"CALCAIRE"
"SCFC (Vergranne)";"Lieu-dit ""Les Mondrevaux""";"25";"25110";"VERGRANNE";"25602";905042;2274831;"CALCAIRE"
"FAMY SAS (Arinthod)";"EN COIRON ES";"39";"39240";"ARINTHOD";"39016";849468;2159418;"CALCAIRE"
"PERNOT S.E.T. (Authume)";"Au Grand Mont";"39";"39100";"AUTHUME";"39030";839266;2240050;"CALCAIRE"
"LARUE (Balanod)";"AUX ROCHES";"39";"39160";"BALANOD";"39035";833110;2166676;"CALCAIRE"
"PERNOT S.E.T. (Besain)";"LA LATTIERE";"39";"39800";"BESAIN";"39050";863974;2204879;"CALCAIRE"
"IMERYS TC SAS (BOIS DE GAND)";"CHAMP DE LA MILLASSE";"39";"39230";"BOIS DE GAND";"39060";841588;2208023;"ARGILE"
"HOLCIM GRANULATS (ex-ORSA BRIOD)";"BOIS DU ROI";"39";"39570";"BRIOD";"39079";852392;2188957;"CALCAIRE"
"JURA GRANULATS SA (Charchilla)";"route de Crenans";"39";"39260";"CHARCHILLA";"39106";860149;2168711;"CALCAIRE"
"SJE (Chaussenans)";"LE SAUGET";"39";"39800";"CHAUSSENANS";"39127";860266;2207746;"CALCAIRE"
"ROUX  S.A.S. (Crancot)";"CHAMP MOUTIN";"39";"39570";"CRANCOT";"39177";852188;2191521;"CALCAIRE"
"CUENOT (entreprise) - Dournon";"AU DESSUS DES MERETS";"39";"39110";"DOURNON";"39202";875464;2220150;"CALCAIRE"
"FONTENAT";"LES BEAUX REGARDS";"39";"39160";"VAL D EPY";"39209";834953;2156450;"CALCAIRE"
"JEANNIN (Esserval Tartre)";"PRE DU RAFFEUR";"39";"39250";"ESSERVAL TARTRE";"39214";882129;2210214;"CALCAIRE"
"ROUX S.A.S. (Gendrey)";"LES LAVIERES";"39";"39350";"GENDREY";"39246";852219;2251034;"CALCAIRE"
"MEAC SAS (Gy)";"Lieu-dit ""Brule Cul""";"70";"70700";"GY";"70282";863637;2273216;"CALCAIRE"
"LA PIERRE D'HERICOURT SARL";"Lieu-dit ""Les Etanchots""";"70";"70400";"HERICOURT";"70285";930357;2295184;"CALCAIRE"
"MAILLARD SAS (Amont et Effreney)";"Lieu-dit ""Roches du Saut""";"70";"70310";"AMONT ET EFFRENEY";"70016";916506;2327391;"PORPHYRE"
"REBESCHINI FRANCOIS";"Lieu-dit ""Combe au Trésorier""";"70";"70000";"ANDELARROT";"70020";883781;2293543;"CALCAIRE"
"VELET TERRASSEMENTS SAS (Arc lès Gray)";"Lieu-dit ""Les Aiges""";"70";"70100";"ARC LES GRAY";"70026";844279;2280113;"CALCAIRE"
"DEMOULIN FEDY (ex Fedy Frère (Authoison)";"Lieu-dit ""Les Lavières""";"70";"70190";"AUTHOISON";"70038";886269;2284930;"CALCAIRE"
"MEAC SAS (Avrigney)";"Lieu-dit ""Mont Colombin""";"70";"70150";"AVRIGNEY VIREY";"70045";859808;2267029;"CALCAIRE"
"GRANULATS DU DOUBS (ex BFC)";"Lieux-dits ""Les Rondes"" et ""Mourey""";"70";"70190";"BOULT";"70085";877214;2270626;"CALCAIRE"
"LES CARRIERES COMTOISES ""Raye""";"Lieu- dit ""Champ de la Raye""";"90";"90100";"ST DIZIER L EVEQUE";"90090";947883;2284463;"CALCAIRE"
"BONGARZONE ET CIE (Jussey)";"Lieu-dit ""Au dessus des Craies""";"70";"70500";"JUSSEY";"70292";865148;2319246;"CALCAIRE"
"GDFC (Magny Danigon) ex Holcim";"Lieu-dit ""Le Triage""";"70";"70200";"MAGNY DANIGON";"70318";921420;2307880;"SCHISTES"
"GDFC (Mailley) ";"Lieu-dit ""Mont de Rosey""";"70";"70000";"MAILLEY ET CHAZELOT";"70324";878513;2289235;"CALCAIRE"
"MEAC SAS (Oiselay)";"Lieu-dit ""Côte de Grachaux""";"70";"70700";"OISELAY ET GRACHAUX";"70393";869337;2276194;"CALCAIRE"
"SCFC (Pin) ex Lacoste";"Lieu-dit ""Friche de Pipette""";"70";"70150";"PIN";"70410";865683;2265835;"CALCAIRE"
"MOUGEY ET FILS TP (Clerval)";"La Plénoise";"25";"25340";"CLERVAL";"25156";911858;2274817;"CALCAIRE"
"GRANULATS DE FRANCHE COMTE";"Lieu-dit ""La Côte de Froy""";"90";"90800";"BANVILLARS";"90007";935157;2297655;"CALCAIRE"
"BARTHOULOT SARL";"Lieu-dit ""Bois de Chazolot""";"25";"25340";"CHAUX LES CLERVAL";"25140";916868;2272541;"CALCAIRE"
"ROGER MARTIN SAS";"Lieu-dit ""Le Grand Champoneau""";"70";"70000";"NOROY LE BOURG";"70390";896209;2299140;"CALCAIRE"
"Carrière DOMITIA GRANULATS (ex LRM)";"Sainte Croix";"11";"11100";"MONTREDON DES CORBIERES";"11255";645798;1798053;"CALCAIRE"
"Carrière CARRIERES CAP ROMARIN MARBRE";"Cap Romarin";"11";"11210";"PORT LA NOUVELLE";"11266";655927;1779681;"MARBRE"
"Carrière LAFARGE CimentsPort La Nouvelle";"Pla de Guiraud";"11";"11210";"PORT LA NOUVELLE";"11266";656615;1780269;"CALCAIRE"
"Carrière IMERYS CERAMICS Puch Séguy";"Puch Seguy";"11";"11140";"SALVEZINES";"11373";597088;1753439;"FELDSPATHS"
"Carrière IMERYS CERAMICS F SAS -La Roque";"La Roque";"11";"11510";"TREILLES";"11398";649428;1768435;"FELDSPATHS"
"Carrière EIFFAGE TP MEDITERRANEE";"Domaine de Gléon";"11";"11360";"VILLESEQUE DES CORBIERES";"11436";641977;1782287;"CALCAIRE"
"CARRIERE SNC EIFFAGE TP MEDITERRANEE";"Roquebrune";"30";"30130";"ST ALEXANDRE";"30226";783425;1915463;"CALCAIRE"
"CARRIERE LA PIERRE DE FRANCE BrouzetAlès";"Les Conques";"30";"30580";"BROUZET LES ALES";"30055";754123;1906522;"CALCAIRE"
"CARRIERE des CONQUETTES Brouzet-Sté SYLV";"Les Conquettes";"30";"30580";"BROUZET LES ALES";"30055";752708;1904305;"CALCAIRE"
"CARRIERE LAUTIER ROQUEBLAVE La Calmette";"Fontaine de Mourgue Chauvel";"30";"30190";"LA CALMETTE";"30061";756501;1880447;"CALCAIRE"
"CARRIERE TERRISSE Liouc";"Pied Bouquet";"30";"30260";"LIOUC";"30148";730480;1877590;"QUARTZ"
"CARRIERES DE MONTDARDIER Montdardier Sud";"La Beaume Tezounières Sud";"30";"30120";"MONTDARDIER";"30176";699952;1883567;"CALCAIRE"
"CARRIERES DE MONTDARDIER Montdardier Nor";"La Baume Tézounières Nord";"30";"30120";"MONTDARDIER";"30176";699952;1883567;"CALCAIRE"
"CARRIERES DE MONTDARDIER (STE LES)";"Lascombes";"30";"30120";"MONTDARDIER";"30176";698551;1881949;"CALCAIRE"
"CARRIERE OMYA Moulezan";"Lens";"30";"30350";"MOULEZAN";"30183";746047;1881062;"CALCAIRE"
"CARRIERE ROCAMAT Moulezan";"Visseau du Corbeau Combe Posada";"30";"30350";"MOULEZAN";"30183";746030;1881464;"CALCAIRE"
"CARRIERE ROMAINE ROQUEMAILLERE Nimes";"Villeverte";"30";"30000";"NIMES";"30189";760113;1875240;"CALCAIRE"
"CARRIERE SELE ENTREPRISE Nimes";"Barutel";"30";"30000";"NIMES";"30189";762620;1871952;"CALCAIRE"
"CARRIERE LA PIERRE DE FRANCE NIMES";"Petit Roc Taille";"30";"30000";"NIMES";"30189";762362;1872088;"CALCAIRE"
"CARRIERE Fils STE Pompignan Romanissiere";"La Romanissère";"30";"30170";"POMPIGNAN";"30200";722229;1878130;"CALCAIRE"
"CARRIERE POMPIGNAN CRES ROBERT Devois";"Le Devois Long - Les Cabasses";"30";"30170";"POMPIGNAN";"30200";723129;1879025;"CALCAIRE"
"CARRIERE POMPIGNAN CRES ROBERT SIGALAS G";"Sigalas et Grand Terre";"30";"30170";"POMPIGNAN";"30200";723677;1878425;"CALCAIRE"
"CARRIERE POMPIGNAN CRES ROBERT Lascans S";"Lascans SUD";"30";"30170";"POMPIGNAN";"30200";722956;1880230;"CALCAIRE"
"CARRIERE POMPIGNAN CRES ROBERT LASCANS N";"Lascans NORD";"30";"30170";"POMPIGNAN";"30200";722515;1880268;"CALCAIRE"
"CARRIERE ROUMEAS FILS St Etienne Sorts";"La Roquette Silhas Bourbouiren";"30";"30200";"ST ETIENNE DES SORTS";"30251";789986;1911009;"CALCAIRE"
"CARRIERE GRANULATS GONTERO St Genies Com";"Les Euzières";"30";"30150";"ST GENIES DE COMOLAS";"30254";793433;1897806;"CALCAIRE"
"CARRIERE FERROPEM St Hippolyte Montaigu";"Soleyron";"30";"30700";"ST HIPPOLYTE DE MONTAIGU";"30262";774014;1895641;"GRES"
"CARRIERE POMPIGNAN CRES St Hippolyte";"Germeaux";"30";"30170";"ST HIPPOLYTE DU FORT";"30263";721861;1885960;"CALCAIRE"
"CARRIERE SAS GC CONSEIL";"Mas de Valz La Liquière";"30";"30960";"ST JEAN DE VALERISCLE";"30268";750260;1921100;"QUARTZ"
"CARRIERE CHIFFE ET CIE Tornac";"Le Mas Neuf";"30";"30140";"TORNAC";"30330";730484;1894148;"CALCAIRE"
"CARRIERE JOFFRE TRAVAUX PUBLICS Vallerar";"La Garrigue Fontinelle";"30";"30580";"VALLERARGUES";"30338";759690;1904289;"CALCAIRE"
"CARRIERE PROVENCALE SA Valliguieres";"Lacau";"30";"30210";"VALLIGUIERES";"30340";780245;1891290;"CALCAIRE"
"CARRIERE LAFARGE GRANULATS SUD Valli";"Lacau";"30";"30210";"VALLIGUIERES";"30340";780432;1891135;"CALCAIRE"
