"nom";"adresse";"departement";"codepostal";"nomcommune";"inseecommune";"lambert2x";"lambert2y";"substance"
"CARRIERE SABLIERES DU BUECH";"Rocher de Chantelle";"05";"05110";"MONETIER ALLEMONT";"05078";887010;1939767;"CALCAIRE"
"CARRIERE GUERIN CHAMP Corbières";"Pont de Corbières";"05";"05260";"CHAMPOLEON";"05032";911286;1973431;"GRES"
"CARRIERE TERRES CUITES DES LAUNES-Salern";"Les Hubacs";"83";"83690";"SALERNES";"83121";918078;1847348;"ARGILE"
"CARRIERE STTP PAYAN - Tavernes";"Lieu dit ""Pourchier""";"83";"83670";"TAVERNES";"83135";899088;1850914;"CALCAIRE"
"CARRIERE CEMEX GRANULATS - La Môle";"Carriere de la Môle - Gonthier";"83";"83310";"LA MOLE";"83079";938106;1810087;"GNEISS"
"CARRIERE CEMEX GRANULATS - Fréjus";"Carriere du Pont du DUC";"83";"83370";"FREJUS";"83061";959179;1840538;"RHYOLITES"
"CARRIERE SOMECA-Callas";"CALLAS ET LA MOTTE";"83";"83830";"CALLAS";"83028";941456;1846569;"CALCAIRE"
"CARRIERE SN ECT ";"Les Tuileries, L'Oratoire, La Poucelle";"13";"13080";"AIX EN PROVENCE";"13001";845374;1839332;"ARGILE"
"CARRIERE VILA";"Le Val d'Ambla";"13";"13127";"VITROLLES";"13117";835828;1834076;"CALCAIRE"
"CARRIERE VICAT Blausasc et Peillon";"La Grave de Peille";"06";"06440";"BLAUSASC";"06019";1005281;1878139;"MARNES"
"CARRIERE LAFARGE Pimian";"Usine de Contes";"06";"06390";"CONTES";"06048";1002319;1878786;"MARNES"
"CARRIERE LAFARGE Pont Peille";"";"06";"06340";"DRAP";"06054";1002942;1874957;"CALCAIRE"
"SINIAT (ex Carrières LAFARGE PLATRES)";"Le Raou - RD 2565";"06";"06450";"LANTOSQUE";"06074";998366;1896984;"GYPSE"
"CARRIERE VINCI (ex Deschiron)";"La Cruelle BP 29";"06";"06320";"LA TURBIE";"06150";1007252;1874574;"CALCAIRE"
"CARRIERE PROVENCALE - Brignoles ";"Le Candelon";"83";"83170";"BRIGNOLES";"83023";900406;1826849;"CALCAIRE"
"CARRIERE CHIAPELLO n°2";"1880 chemin de la plus haute Sine";"06";"06140";"VENCE";"06157";984290;1870533;"CALCAIRE"
"CARRIERE CHIAPELLO n°3";"1880 chemin de la plus haute Sine";"06";"06140";"VENCE";"06157";984290;1870533;"CALCAIRE"
"CARRIERE SINIAT (ex LAFARGE PLATRES)";"Route de Blauvac";"84";"84380";"MAZAN";"84072";826901;1896866;"GYPSE"
"CARRIERE LAFARGE CIMENTS (La Malle)";"BP 6 ";"13";"13240";"SEPTEMES LES VALLONS";"13106";847780;1828065;"CALCAIRE"
"CARRIERE PROVENCE GRANULATS-Le Cannet";"Le Defens d'Embuis";"83";"83340";"LE CANNET DES MAURES";"83031";926064;1832502;"CALCAIRE"
"CARRIERE SAINT BAILLON - Flassans/Issole";"Les Selves";"83";"83340";"FLASSANS SUR ISSOLE";"83057";911106;1828322;"CALCAIRE"
"CARRIERE SOMECA-Le Val";"ZI les Consacs";"83";"83143";"LE VAL";"83143";898264;1831946;"CALCAIRE"
"CARRIERE LAFARGE - Beausset Castelet Eve";"Le Val d'Arenc";"83";"83330";"LE BEAUSSET";"83016";881615;1802025;"GRES"
"CARRIERE GONTERO ";"Les Bouttiers ";"13";"13161";"CHATEAUNEUF LES MARTIGUES";"13026";824296;1824537;"CALCAIRE"
"CARRIERE BRONZO PERASSO";"Chemin des Bessons ";"13";"13014";"MARSEILLE 14";"13214";847980;1821582;"CALCAIRE"
"CARRIERE BALLASTIERES DES ALPES ";"Le Rocher Roux";"05";"05400";"MONTMAUR";"05087";883067;1957899;"CALCAIRE"
"CARRIERE GUERIN CERVIERES";"Clapes du Lasseron";"05";"05100";"CERVIERES";"05027";948064;1995744;"CALCAIRE"
"CARRIERE BALLASTIERES DES ALPES";"Dessous le Rocher";"05";"05250";"LA CLUSE";"05042";879152;1962892;"CALCAIRE"
"CARRIERE PLACOPLATRE";"";"05";"05300";"LAZER";"05073";881031;1932248;"GYPSE"
"CARRIERE CHARLES QUEYRAS TP ";"Barrachin les Balmes";"05";"05600";"ST CREPIN";"05136";936995;1977246;"CALCAIRE"
"CARRIERE SOMECA-Le Revest Les Eaux";"";"83";"83200";"LE REVEST LES EAUX";"83103";892784;1805877;"CALCAIRE"
"CARRIERE SOMECA-Evenos";"Le Rocher de l'Aigle";"83";"83330";"EVENOS";"83053";886076;1807609;"BASALTES"
"CARRIERE LAFARGE - Callas";"La Joyeuse";"83";"83830";"CALLAS";"83028";944259;1851151;"CALCAIRE"
"CARRIERE SECAM";"Le Riou Bel";"05";"05600";"GUILLESTRE";"05065";943258;1970766;"MARBRE"
"CARRIERE LAFARGE (ESTAQUE) ";"Carrière de l'Estaque";"13";"13016";"MARSEILLE 16";"13216";840842;1823280;"CALCAIRE"
"CARRIERE CEMEX (ex MORILLON CORVOL)";"Carrière St Claude  ";"13";"13390";"AURIOL";"13007";866686;1824127;"CALCAIRE"
"CARRIERE BEVALI ";"Lieu dit ""Roumagoua""";"13";"13600";"LA CIOTAT";"13028";866029;1806726;"CALCAIRE"
"CARRIERE CIDALE";"Zone Athélia IV";"13";"13600";"LA CIOTAT";"13028";865994;1806640;"CALCAIRE"
"CARRIERE CHAUX DE LA TOUR ";"1, chemin des Chaux de la Tour";"13";"13820";"ENSUES LA REDONNE";"13033";830744;1822385;"CALCAIRE"
"CARRIERE OMYA";"BP N° 10";"13";"13660";"ORGON";"13067";816903;1868403;"CALCAIRE"
